Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2804 LH;Vreelust;2;24;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LJ;Vreelust;26;56;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LK;Zomerlust;1;35;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LL;Tjotterwerf;1;27;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LL;Tjotterwerf;2;16;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LM;Schokkerwerf;2;40;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LP;Punterwerf;2;20;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LR;Noorderwerf;1;39;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LR;Noorderwerf;2;20;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LS;IJkerwerf;1;31;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LT;Mastpad;1;1;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LT;Tjalkwerf;2;52;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LV;Tjalkwerf;1;27;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LW;Schouwwerf;1;15;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LW;Schouwwerf;2;26;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LX;Rinkelaarwerf;1;41;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LX;Rinkelaarwerf;2;20;GOUDA                   ;B-9;onbekend;;;;;;;
2804 LZ;Oosterwerf;2;62;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MA;Praamwerf;1;13;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MA;Praamwerf;2;38;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MB;Pluutwerf;2;38;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MC;Pluutwerf;1;59;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MD;Poonwerf;2;52;GOUDA                   ;B-9;onbekend;;;;;;;
2804 ME;Poonwerf;1;33;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MG;Hoogaarswerf;1;15;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MH;Gaffelaarwerf;1;11;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MH;Gaffelaarwerf;2;16;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MJ;Botterwerf;1;53;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MK;Botterwerf;2;18;GOUDA                   ;B-9;onbekend;;;;;;;
2804 ML;Zuiderwerf;1;33;GOUDA                   ;B-9;onbekend;;;;;;;
2804 ML;Zuiderwerf;2;46;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MN;Klipperwerf;2;32;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MP;Klipperwerf;1;57;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MR;Keenwerf;1;59;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MS;Keenwerf;2;34;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MT;Kaagwerf;1;15;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MT;Kaagwerf;2;52;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MV;Jolwerf;1;31;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MV;Jolwerf;2;22;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MX;Aakwerf;2;46;GOUDA                   ;B-9;onbekend;;;;;;;
2804 MZ;Aakwerf;1;19;GOUDA                   ;B-9;onbekend;;;;;;;
2804 NA;Raaigras;1;29;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NB;Raaigras;31;63;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NC;Raaigras;2;42;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ND;Raaigras;44;84;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NE;Raaigras;86;116;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NG;Zwenkgras;1;47;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NH;Zwenkgras;49;79;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NJ;Zwenkgras;2;32;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NK;Trilgras;1;15;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NL;Trilgras;2;48;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NM;Struisgras;1;29;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NN;Struisgras;2;32;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NP;Kamgras;1;23;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NR;Kamgras;2;28;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NS;Beemdgras;1;43;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NT;Beemdgras;2;42;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NV;Beemdgras;44;68;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NW;Beemdgras;70;110;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NX;Windhoek;2;16;GOUDA                   ;B-11;onbekend;;;;;;;
2804 NZ;Elzenburg;1;11;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PA;Waterruit;1;29;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PB;Waterruit;31;61;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PC;Waterruit;2;44;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PD;Waterruit;46;88;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PE;Waterruit;90;124;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PG;Waterruit;126;154;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PH;Waterkers;1;39;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PJ;Waterkers;2;28;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PK;Waterkers;30;52;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PL;Waterkers;54;80;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PM;Waterklaver;1;21;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PN;Waterklaver;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PP;Waterpeper;1;23;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PR;Waterpeper;2;28;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PS;Waterlelie;1;23;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PT;Waterlelie;25;67;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PV;Waterlelie;2;32;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PW;Waterlelie;34;64;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PX;Waterlelie;66;96;GOUDA                   ;B-11;onbekend;;;;;;;
2804 PZ;Waterlelie;98;124;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RA;Ridder van Catsweg;97;145;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RB;Ridder van Catsweg;147;201;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RC;Ridder van Catsweg;203;229;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RD;Ridder van Catsweg;231;261;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RE;Ridder van Catsweg;263;289;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RG;Ridder van Catsweg;291;321;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RH;Ridder van Catsweg;323;363;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RJ;Ridder van Catsweg;365;403;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RK;Ridder van Catsweg;405;443;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RL;Ridder van Catsweg;445;483;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RM;Ridder van Catsweg;485;531;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RN;Ridder van Catsweg;533;571;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RP;Ridder van Catsweg;573;631;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RR;Ridder van Catsweg;633;709;GOUDA                   ;B-11;onbekend;;;;;;;
2804 RS;Ridder van Catsweg (even);258;362;GOUDA                   ;B-12;onbekend;;;;;;;
2804 RT;Calslaan;1;103;GOUDA                   ;A-9;onbekend;;;;;;;
2804 RT;Calslaan;2;100;GOUDA                   ;A-9;onbekend;;;;;;;
2804 RW;Scholenpad;2;8;GOUDA                   ;A-9;onbekend;;;;;;;
2804 RX;Groen van Prinsterersngl;60;60;GOUDA                   ;A-9;onbekend;;;;;;;
2804 RZ;Swadenburg;1;3;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SB;Noordhoef;1;39;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SC;Noordhoef;41;87;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SE;Noordhoef;89;135;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SG;Noordhoef;137;183;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SH;Noordhoef;2;36;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SJ;Noordhoef;38;64;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SK;Noordhoef;66;112;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SL;Westhoef;1;43;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SM;Westhoef;45;87;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SN;Westhoef;89;119;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SP;Westhoef;2;48;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SR;Westhoef;50;88;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ST;Oosthoef;1;9;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ST;Oosthoef;2;50;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SV;Oosthoef;52;72;GOUDA                   ;B-11;onbekend;;;;;;;
2804 SW;Oosthoef;74;104;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TA;Zuidhoef;2;32;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TA;Zuidhoef;31;31;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TB;Zuidhoef;34;50;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TC;Zuidhoef;52;88;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TD;Zuidhoef;90;136;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TE;Zuidhoef;138;180;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TG;Zuidhoef;182;196;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TH;Raesbergenstraat;3;45;GOUDA                   ;A-9;onbekend;;;;;;;
2804 TJ;Raesbergenstraat;47;91;GOUDA                   ;A-9;onbekend;;;;;;;
2804 TK;Raesbergenstraat;2;20;GOUDA                   ;A-9;onbekend;;;;;;;
2804 TL;Anna van Meertenstraat;2;10;GOUDA                   ;A-9;onbekend;;;;;;;
2804 TP;Lekkenburg;229;271;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TR;Lekkenburg;273;333;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TS;Lekkenburg;335;395;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TT;Lekkenburg;397;457;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TV;Lekkenburg;459;519;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TW;Lekkenburg;521;563;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TX;Lekkenburg;565;607;GOUDA                   ;B-11;onbekend;;;;;;;
2804 TZ;Lekkenburg;609;659;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VA;Haastenburg;1;35;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VB;Haastenburg;2;34;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VC;Haastenburg;36;74;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VD;Haastenburg;76;106;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VE;Haastenburg;108;138;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VG;Swadenburg;2;36;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VH;Swadenburg;38;72;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VJ;Gildenburg;1;1;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VJ;Gildenburg;2;38;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VK;Gildenburg;40;152;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VL;Ruigenburg;1;33;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VM;Ruigenburg;35;73;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VN;Ruigenburg;75;109;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VP;Ruigenburg;111;137;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VR;Ruigenburg;139;183;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VS;Ruigenburg;185;221;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VT;Ruigenburg;2;60;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VV;Ruigenburg;62;80;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VW;de Andel;1;1;GOUDA                   ;B-11;onbekend;;;;;;;
2804 VX;Omloopkade;2;2;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WB;Albrechtsveld;1;25;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WB;Albrechtsveld;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WC;Albrechtsveld;26;50;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WC;Albrechtsveld;27;49;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WD;Albrechtsveld;51;69;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WD;Albrechtsveld;52;70;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WE;Albrechtsveld;71;89;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WE;Albrechtsveld;72;90;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WG;Albrechtsveld;91;111;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WG;Albrechtsveld;92;110;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WH;Albrechtsveld;112;120;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WH;Albrechtsveld;113;119;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WK;Nieburg;1;33;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WK;Nieburg;2;10;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WL;Rodenburg;1;35;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WN;Leeuwenburg;2;12;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WP;Vlietenburg;1;27;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WR;Vlietenburg;29;69;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WS;Vlietenburg;2;28;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WT;Vlietenburg;30;54;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WV;Veenenburg;1;53;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WX;Veenenburg;2;20;GOUDA                   ;B-11;onbekend;;;;;;;
2804 WZ;Veenenburg;22;78;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XA;Lekkenburg;1;29;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XB;Lekkenburg;31;69;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XC;Lekkenburg;2;42;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XD;Lekkenburg;44;82;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XE;Lekkenburg;84;114;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XG;Lekkenburg;116;162;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XH;Lekkenburg;71;107;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XJ;Lekkenburg;109;163;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XK;Lekkenburg;165;205;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XL;Lekkenburg;207;227;GOUDA                   ;B-11;onbekend;;;;;;;
2804 XT;Solingenstraat;2;18;GOUDA                   ;A-4;onbekend;;;;;;;
2804 XV;Kongsbergstraat;1;59;GOUDA                   ;A-4;onbekend;;;;;;;
2804 XW;Kongsbergstraat;2;24;GOUDA                   ;A-4;onbekend;;;;;;;
2804 XX;Gloucesterstraat;1;23;GOUDA                   ;A-4;onbekend;;;;;;;
2804 XZ;Gloucesterstraat;2;68;GOUDA                   ;A-4;onbekend;;;;;;;
2804 ZA;Plaswijckweg;110;110;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZB;Meerburgstraat;1;37;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZC;Meerburgstraat;39;49;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZD;Meerburgstraat;51;61;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZE;Meerburgstraat;2;30;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZG;Wiltenburg;1;35;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZH;Stolpenburg;2;40;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZJ;Trompenburg;1;7;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZK;Trompenburg;2;28;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZL;Rijnenburg;1;43;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZM;Rijnenburg;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZN;Paardenburg;1;17;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZN;Paardenburg;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZP;Overburg;1;23;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZP;Overburg;2;8;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZR;Hoogenburg;1;11;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZR;Hoogenburg;2;26;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZS;Kruidenburg;1;23;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZT;Kruidenburg;2;12;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZV;Kannenburg;1;15;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZV;Kannenburg;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZW;Ganzenburg;1;19;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZW;Ganzenburg;2;24;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZX;Brittenburg;2;22;GOUDA                   ;B-11;onbekend;;;;;;;
2804 ZZ;Brittenburg;24;54;GOUDA                   ;B-11;onbekend;;;;;;;
2805 AA;Albert Plesmanplein;1;17;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AA;Albert Plesmanplein;2;16;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AB;Albert Plesmanplein;18;42;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AB;Albert Plesmanplein;19;41;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AC;Albert Plesmanplein;43;67;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AC;Albert Plesmanplein;44;66;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AD;Albert Plesmanplein;68;82;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AD;Albert Plesmanplein;69;81;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AE;Albert Plesmanplein;83;95;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AE;Albert Plesmanplein;84;96;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AG;Graaf Florisweg;39;69;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AH;Graaf Florisweg;71;105;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AJ;Graaf Florisweg;109;125;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AK;Graaf Florisweg;129;145;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AL;Graaf Florisweg;4;36;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AM;Graaf Florisweg;38;74;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AN;Graaf Florisweg;78;112;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AP;Graaf Florisweg;114;154;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AR;Willem en Marialaan;1;1;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AR;Willem en Marialaan;2;48;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AS;Willem en Marialaan;50;86;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AT;Prins Mauritsstraat;1;23;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AV;Prins Mauritsstraat;2;8;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AW;Tunnelhof;1;5;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AW;Tunnelhof;2;6;GOUDA                   ;A-5;onbekend;;;;;;;
2805 AX;Graaf Florisweg;147;223;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AZ;van Limburg Stirumplaats;1;43;GOUDA                   ;A-6;onbekend;;;;;;;
2805 AZ;van Limburg Stirumplaats;2;42;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BA;Ridder van Catsweg (even);2;154;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BB;Ridder van Catsweg (even);156;238;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BC;Ridder van Catsweg (even);240;256;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BD;van Limburg Stirumstraat;1;15;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BD;van Limburg Stirumstraat;2;20;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BE;Statensingel;1;47;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BE;Statensingel;2;60;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BG;Statensingel;49;95;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BH;Statensingel;97;117;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BJ;Statensingel;62;88;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BK;Statensingel;90;114;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BL;Statensingel;116;142;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BM;van Hogendorpplein;1;39;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BM;van Hogendorpplein;2;4;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BP;Willem de Zwijgersingel;1;17;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BR;Willem de Zwijgersingel;2;104;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BS;Willem de Zwijgersingel;114;118;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BT;Willem de Zwijgersingel;122;156;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BV;Willem de Zwijgersingel;158;192;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BW;Willem de Zwijgersingel;194;220;GOUDA                   ;A-6;onbekend;;;;;;;
2805 BX;Marga Klompepassage;1;35;GOUDA                   ;A-9;onbekend;;;;;;;
2805 BZ;Gerbrandyweg;6;22;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CA;Thorbeckelaan;1;37;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CA;Thorbeckelaan;2;10;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CB;Thorbeckelaan;39;87;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CC;Thorbeckelaan;89;123;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CD;Thorbeckelaan;125;147;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CE;Thorbeckelaan;149;183;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CG;Kolkmanstraat;1;3;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CG;Kolkmanstraat;2;42;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CH;Regoutstraat;1;23;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CH;Regoutstraat;2;22;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CJ;Graaf Lodewijkstraat;1;15;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CJ;Graaf Lodewijkstraat;2;16;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CK;Graaf Hendrikstraat;2;36;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CL;Graaf Adolfstraat;1;35;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CL;Graaf Adolfstraat;2;2;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CM;Johan de Wittlaan;1;31;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CN;Juliana van Stolbergstr;2;38;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CP;Juliana van Stolbergstr;40;88;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CR;Oranje-Nassaulaan;1;25;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CR;Oranje-Nassaulaan;2;24;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CS;Oranje-Nassaulaan;26;42;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CS;Oranje-Nassaulaan;27;43;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CT;Oranje-Nassaulaan;44;62;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CT;Oranje-Nassaulaan;45;61;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CV;Anna van Burenstraat;1;29;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CV;Anna van Burenstraat;2;30;GOUDA                   ;A-6;onbekend;;;;;;;
2805 CW;Tweede Poldermeesterhof;1;1;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 CX;Marga Klompestraat;4;110;GOUDA                   ;A-9;onbekend;;;;;;;
2805 CZ;Marga Klompestraat;1;33;GOUDA                   ;A-9;onbekend;;;;;;;
2805 DA;Baljuwslag;2;38;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DB;Baljuwslag;1;37;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DC;Drossaardslag;2;48;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DD;Drossaardslag;50;122;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DE;Drossaardslag;1;57;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DG;Dijkgraafslag;2;80;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DH;Gaarderslag;2;38;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DJ;Gaarderslag;1;45;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DK;Ingelandslag;2;38;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DL;Ingelandslag;1;53;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DM;Kameraarslag;2;44;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DN;Kameraarslag;1;61;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DP;Heemraadslag;2;56;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DR;Heemraadslag;1;5;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DS;Dijkgraafslag;1;89;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DT;Dijkgraafslag;91;175;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DV;Ommeslag;5;19;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DW;Kwartslag;1;21;GOUDA                   ;A-2;T. Eilander;;;;;;;
2805 DW;Kwartslag;2;20;GOUDA                   ;A-2;T. Eilander;;;;;;;
