Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 GN;Nieuwstraat;2;12;GOUDA                   ;B-6;onbekend;;;;;;;
2801 GP;Nieuwe Markt;1;17;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GP;Nieuwe Markt;2;18;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GP;Nieuwe Markt;70;70;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GR;Nieuwe Markt;64;68;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GR;Nieuwe Markt;65;97;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GR;Nieuwe Markt;72;100;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GS;Sint Anthoniestraat;1;23;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GT;Sint Anthoniestraat;2;20;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GV;Turfmarkt;1;47;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GW;Turfmarkt;51;105;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GX;Turfmarkt;107;121;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GZ;Agnietenstraat;1;21;GOUDA                   ;B-6;onbekend;;;;;;;
2801 HA;Turfmarkt;2;32;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HB;Turfmarkt;36;88;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HC;Turfmarkt;90;120;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HD;Turfmarkt;122;166;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HE;Blauwstraat;1;19;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HE;Blauwstraat;2;16;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HG;Hoogstraat;1;23;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HH;Hoogstraat;2;26;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HJ;Geertje den Bultsteeg;1;3;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HJ;Geertje den Bultsteeg;2;2;GOUDA                   ;B-3;onbekend;;;;;;;
2801 HV;Nieuwe-Marktpassage;2;30;GOUDA                   ;A-6;onbekend;;;;;;;
2801 HW;Nieuwe-Marktpassage;1;27;GOUDA                   ;A-6;onbekend;;;;;;;
2801 HX;Agnietenstraat;2;50;GOUDA                   ;A-6;onbekend;;;;;;;
2801 HZ;Agnietenstraat;52;94;GOUDA                   ;A-6;onbekend;;;;;;;
2801 JA;Achter de Waag;5;17;GOUDA                   ;A-6;onbekend;;;;;;;
2801 JA;Achter de Waag;12;24;GOUDA                   ;A-6;onbekend;;;;;;;
2801 JB;Zeugstraat;1;15;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JC;Zeugstraat;2;58;GOUDA                   ;A-1;onbekend;;;;;;;
